source_as,target_as,path_length
174-US-CA,4134-CN-,1
12479-ES-VC,3356-US-,1
4766-KR-41,7922-US-IL,1
3269-IT-45,20940-DE-HE,1
2518-JP-13,714-US-,1
4134-CN-GD,9394-CN-,1
20940-JP-27,209-US-OR,1
174-US-NY,5400-DE-NW,1
7029-US-KY,5650-US-FL,1
4134-CN-GD,3462-TW-KHH,1
3356-US-TX,20115-US-AL,1
4134-CN-,3303-CH-VD,1
20940-DE-HE,3786-KR-,1
7922-US-CA,2828-US-,1
701-US-VA,28118-DO-01,1
20940-JP-13,209-US-MN,1
2497-JP-11,9824-JP-13,1
2200-FR-BRE,3257-US-NY,1
3356-US-,15557-FR-HDF,1
7922-US-CO,701-US-NY,1
20940-FR-IDF,3320-DE-NW,1
3356-US-,31898-US-CA,1
5400-NL-NH,7922-US-GA,1
5713-ZA-EC,1239-US-VA,1
4766-KR-,4837-CN-SD,1
703-IN-,701-US-NJ,1
3320-DE-BW,7922-US-WA,1
4837-CN-SD,7922-US-GA,1
37492-TN-12,3356-US-CA,1
3320-DE-NW,2119-NO-34,1
3320-DE-NI,209-US-WA,1
22764-US-NC,1136-NL-ZH,1
209-US-MN,20940-JP-13,1
3356-US-CA,5432-BE-VLG,1
18779-US-,174-GB-ENG,1
209-US-OR,3320-DE-BW,1
3257-GB-ENG,209-US-FL,1
20940-JP-13,1267-IT-25,1
3303-CH-ZH,2119-SE-O,1
20940-ID-JK,4766-KR-11,1
3356-US-,14061-GB-ENG,1
13285-GB-ENG,3303-CH-GE,1
20940-US-TX,1267-IT-82,1
4837-CN-,3320-DE-BY,1
3356-US-CA,9036-FR-HDF,1
4766-KR-,701-US-VA,1
18881-BR-BA,3356-US-,1
7018-US-,701-US-PA,1
16509-US-,4755-IN-MH,1
3356-US-,7018-US-,1
3303-CH-AG,4837-CN-SD,1
4837-CN-,701-US-VA,1
20940-ID-JK,3786-KR-,1
4766-KR-11,3320-DE-NI,1
4134-CN-GD,137697-CN-,1
2516-JP-,9824-JP-12,1
19108-US-TX,5650-US-CA,1
7018-US-FL,209-US-UT,1
2119-SE-AB,4837-CN-,1
852-CA-AB,7922-US-GA,1
701-US-VA,7922-US-MI,1
4134-CN-,7922-US-MA,1
7922-US-WA,3320-DE-BY,1
3320-DE-NI,174-US-CA,1
4230-BR-SP,20940-KR-11,1
26615-BR-SP,3356-US-TX,1
6619-KR-11,701-US-MD,1
3320-DE-BY,16509-US-,1
132203-HK-,2119-NO-46,1
7922-US-MD,577-CA-ON,1
8075-IN-MH,4766-KR-41,1
1273-GB-,7922-US-IN,1
1267-IT-72,3462-TW-TPE,1
749-US-,3356-US-TX,1
209-US-MN,3257-US-NY,1
2497-JP-,4134-CN-,1
2497-JP-11,174-US-CA,1
4134-CN-GD,3462-TW-TXG,1
15557-FR-OCC,3320-DE-BY,1
701-US-NY,7922-US-TN,1
3209-DE-BW,3356-US-CA,1
4134-CN-GD,20940-US-GA,1
3303-CH-GE,4134-CN-,1
20940-US-TX,4713-JP-,1
4668-KR-,3786-KR-41,1
17816-CN-,4837-CN-,1
7018-US-CA,4837-CN-,1
6939-US-,3462-TW-TNN,1
3269-IT-45,20940-HK-,1
17676-JP-13,4837-CN-,1
20940-GB-ENG,5466-IE-M,1
701-US-MD,8151-MX-VER,1
4134-CN-,680-DE-NW,1
3320-DE-BW,31898-SG-,1
4766-KR-41,7922-US-TN,1
20940-KR-11,4788-MY-10,1
174-US-NY,3786-KR-,1
4766-KR-41,3356-US-CA,1
3257-GB-ENG,7922-US-WA,1
2828-US-,7922-US-CO,1
701-US-VA,7922-US-GA,1
2914-US-NY,7018-US-TX,1
20940-SG-,1267-IT-,1
20940-KR-11,174-GB-ENG,1
3303-CH-ZH,15557-FR-IDF,1
3356-US-CA,8447-AT-2,1
22394-US-,701-US-MD,1
7018-US-FL,209-US-ID,1
3320-DE-NI,209-US-AZ,1
7979-US-,3356-US-TX,1
